project_name,budget_file,budget_sheet,budget_row,budget_group,raw_quota_code,quota_code,is_material,quota_name,quota_unit,quota_quantity,quantity_file,quantity_sheet,quantity_row,quantity_section,quantity_name,quantity_unit,quantity_expression,match_score,match_reason,imported_at
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,11,接地杆基础,LY-16,LY-16,false,≤2.5m3挖掘机装车 普通土,100m3,0.063,阜阳北机务段新增股道工程房建工程量(1).xls,基础,7,接地杆基础,挖方量,m3,6.336,85,分组匹配;单位相近;规则:挖方,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,12,接地杆基础,FY-66,FY-66,false,回填土 松填,100m3,0.053,阜阳北机务段新增股道工程房建工程量(1).xls,基础,8,接地杆基础,回填方量,m3,5.253,85,分组匹配;单位相近;规则:回填,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,13,接地杆基础,LY-34,LY-34,false,≤20t自卸汽车运土 运距≤1km,100m3,0.011,阜阳北机务段新增股道工程房建工程量(1).xls,基础,7,接地杆基础,挖方量,m3,6.336,50,分组匹配;单位相近,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,14,接地杆基础,LY-35*4,LY-35,false,≤20t自卸汽车运土 增运1km,100m3,0.011,阜阳北机务段新增股道工程房建工程量(1).xls,基础,7,接地杆基础,挖方量,m3,6.336,50,分组匹配;单位相近,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,15,接地杆基础,FY-820,FY-820,false,预拌混凝土现浇设备基础 混凝土块体 5m3以内,10m3,0.108,阜阳北机务段新增股道工程房建工程量(1).xls,基础,7,接地杆基础,挖方量,m3,6.336,50,分组匹配;单位相近,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,16,接地杆基础,109001005*1.02,109001005,true,商品混凝土 C30(泵送),m3,1.083,阜阳北机务段新增股道工程房建工程量(1).xls,基础,9,接地杆基础,C30钢筋混凝土基础,m3,1.083,85,分组匹配;单位相近;规则:C30,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,17,接地杆基础,FY-1047,FY-1047,false,现浇构件钢筋 螺纹钢筋 Φ25以内,t,0.16,阜阳北机务段新增股道工程房建工程量(1).xls,基础,9,接地杆基础,C30钢筋混凝土基础,m3,1.083,75,分组匹配;规则:钢筋,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,18,接地杆基础,FY-1911,FY-1911,false,基础垫层 预拌混凝土,10m3,0.023,阜阳北机务段新增股道工程房建工程量(1).xls,基础,12,接地杆基础,C20混凝土垫层,m3,0.225,80,分组匹配;单位相近;规则:垫层,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,19,接地杆基础,109001003*1.02,109001003,true,商品混凝土 C20(泵送),m3,0.225,阜阳北机务段新增股道工程房建工程量(1).xls,基础,12,接地杆基础,C20混凝土垫层,m3,0.225,90,分组匹配;单位相近;规则:C20,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,21,检查坑,LY-16参,LY-16,false,≤2.5m3挖掘机装车 普通土 [/JY1.2],100m3,9.576,阜阳北机务段新增股道工程房建工程量(1).xls,基础,15,检查坑,挖方量,m3,957.6,85,分组匹配;单位相近;规则:挖方,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,22,检查坑,FY-66参,FY-66,false,回填土 松填 [/JY1.2],100m3,4.834,阜阳北机务段新增股道工程房建工程量(1).xls,基础,16,检查坑,回填方量,m3,483.36,85,分组匹配;单位相近;规则:回填,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,23,检查坑,LY-34参,LY-34,false,≤20t自卸汽车运土 运距≤1km [/JY1.2],100m3,4.742,阜阳北机务段新增股道工程房建工程量(1).xls,基础,17,检查坑,土方外运,m3,474.24,85,分组匹配;单位相近;规则:运土,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,24,检查坑,LY-35*4参,LY-35,false,≤20t自卸汽车运土 增运1km [/JY1.2],100m3,4.742,阜阳北机务段新增股道工程房建工程量(1).xls,基础,17,检查坑,土方外运,m3,474.24,85,分组匹配;单位相近;规则:运土,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,25,检查坑,ZY-41参,ZY-41,false,现浇检查坑、井 混凝土 [/JY1.2],10m3,30.899,阜阳北机务段新增股道工程房建工程量(1).xls,基础,15,检查坑,挖方量,m3,957.6,50,分组匹配;单位相近,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,26,检查坑,109001005*1.02参,109001005,true,商品混凝土 C30(泵送) [/JY1.2],m3,308.99,阜阳北机务段新增股道工程房建工程量(1).xls,基础,18,检查坑,C30钢筋混凝土检查坑,m3,308.9856,85,分组匹配;单位相近;规则:C30,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,27,检查坑,ZY-49参,ZY-49,false,坑、井钢筋 [/JY1.2],t,37.08,阜阳北机务段新增股道工程房建工程量(1).xls,基础,18,检查坑,C30钢筋混凝土检查坑,m3,308.9856,75,分组匹配;规则:钢筋,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,28,检查坑,FY-1911参,FY-1911,false,基础垫层 预拌混凝土 [/JY1.2],10m3,3.762,阜阳北机务段新增股道工程房建工程量(1).xls,基础,22,检查坑,C20混凝土垫层,m3,37.62,80,分组匹配;单位相近;规则:垫层,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,29,检查坑,109001003*1.02参,109001003,true,商品混凝土 C20(泵送) [/JY1.2],m3,37.62,阜阳北机务段新增股道工程房建工程量(1).xls,基础,22,检查坑,C20混凝土垫层,m3,37.62,90,分组匹配;单位相近;规则:C20,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,30,检查坑,FY-882参,FY-882,false,预拌混凝土现浇电缆沟、地沟 [/JY1.2],10m3,3.56,阜阳北机务段新增股道工程房建工程量(1).xls,基础,15,检查坑,挖方量,m3,957.6,50,分组匹配;单位相近,2026-05-25 18:39:38
阜阳北机务段新增股道工程,单项估算(_ZGS_02).xls,_ZGS_02-040其他建筑及设备,31,检查坑,109001005*1.02参,109001005,true,商品混凝土 C30(泵送) [/JY1.2],m3,35.6,阜阳北机务段新增股道工程房建工程量(1).xls,基础,18,检查坑,C30钢筋混凝土检查坑,m3,308.9856,85,分组匹配;单位相近;规则:C30,2026-05-25 18:39:38
